ID,Model,Year,Engine_Volume,Engine_Type,Horse_Power,Gearbox,Transmitter,Mileage,Price
12523,Chevrolet Cruze,2013,1.4,Benzin,140.0,Avtomat,Ön,21500,13 100 AZN
12524,Mercedes GLS 450 4MATIC,2018,3.0,Benzin,367.0,Avtomat,Tam,82000,58 500 USD
12525,Hyundai Elantra,2014,1.8,Benzin,150.0,Avtomat,Ön,189532,23 300 AZN
12526,Hyundai Santa Fe,2016,2.0,Dizel,184.0,Avtomat,Ön,152000,38 700 AZN
12527,BMW 528,2012,2.0,Benzin,245.0,Avtomat,Arxa,220000,23 800 AZN
12528,Chevrolet Cruze,2012,1.4,Benzin,141.0,Avtomat,Ön,169000,11 000 AZN
12529,Maserati Grecale,2024,2.0,Hibrid,330.0,Avtomat,Tam,0,78 200 EUR
12530,Opel Astra,2014,1.4,Benzin,90.0,Mexaniki,Ön,147000,18 500 AZN
12531,Lynk & Co 03,2024,2.0,Benzin,218.0,Avtomat,Ön,0,31 900 USD
12532,Mercedes B 170,2008,1.7,Benzin,116.0,Avtomat,Ön,150111,13 800 AZN
12533,LADA (VAZ) Niva,2015,1.7,Benzin,80.0,Mexaniki,Tam,145000,12 500 AZN
12534,Haval H9,2017,2.0,Benzin,245.0,Avtomat,Tam,127200,34 900 AZN
12535,Mercedes C 300,2018,2.0,Benzin,249.0,Avtomat,Arxa,54000,31 500 USD
12536,Toyota Land Cruiser,2021,3.5,Benzin,415.0,Avtomat,Tam,70000,84 500 USD
12537,Chevrolet Cruze,2012,1.8,Benzin,141.0,Mexaniki,Ön,220000,12 500 AZN
12538,BMW 328,2013,2.0,Benzin,245.0,Avtomat,Arxa,170000,29 000 AZN
12539,Mercedes E 300 4MATIC,2018,2.0,Benzin,245.0,Avtomat,Tam,13675,37 300 USD
12540,Hyundai Santa Fe,2015,2.0,Benzin,265.0,Avtomat,Ön,186684,31 300 AZN
12541,Chevrolet Cruze,2012,1.4,Benzin,141.0,Avtomat,Ön,169000,11 000 AZN
12542,Toyota Corolla Fielder,2017,1.5,Hibrid,76.0,Avtomat,Ön,102000,18 800 AZN
12543,Hyundai Mufasa,2023,2.0,Benzin,160.0,Avtomat,Ön,3000,49 700 AZN
12544,Daewoo Espero,1997,1.8,Benzin,95.0,Mexaniki,Ön,310970,2 300 AZN
12545,Hyundai Sonata,2019,2.0,Benzin,165.0,Avtomat,Ön,141000,39 300 AZN
12546,DFSK Glory 330 S Cargo,2022,1.5,Benzin,115.0,Mexaniki,Arxa,0,25 400 AZN
12547,Mercedes Axor 1843,2010,12.0,Dizel,125.0,Mexaniki,Arxa,400000,46 000 AZN
12548,Opel Zafira,2000,1.8,Benzin,116.0,Mexaniki,Ön,523520,8 700 AZN
12549,Mercedes S 500,2014,4.7,Benzin,455.0,Avtomat,Arxa,138000,42 900 USD
12550,Mercedes E 220 d,2001,2.2,Dizel,143.0,Avtomat,Arxa,460000,19 000 AZN
12551,BMW 528,2014,2.0,Benzin,245.0,Avtomat,Arxa,311500,16 300 USD
12552,Mitsubishi Pajero,2007,3.0,Benzin,188.0,Avtomat,Tam,295000,19 800 AZN
12553,Hyundai Santa Fe,2008,2.2,Dizel,150.0,Avtomat,Ön,183000,27 500 AZN
12554,Kia Sorento,2016,2.0,Dizel,184.0,Avtomat,Tam,108000,43 999 AZN
12555,BMW 320,2017,2.0,Benzin,184.0,Avtomat,Arxa,62605,22 000 USD
12556,Renault Master,2021,2.3,Dizel,150.0,Mexaniki,Tam,2600,51 900 AZN
12557,Kia Optima,2013,2.4,Benzin,200.0,Avtomat,Ön,210000,14 500 AZN
12558,Kia Sorento,2014,2.0,Dizel,184.0,Avtomat,Ön,163000,40 300 AZN
12559,BMW 528,2014,2.0,Benzin,245.0,Avtomat,Arxa,178000,21 000 USD
12560,Land Rover Defender,2023,2.0,Plug-in Hibrid,404.0,Avtomat,Tam,6500,102 000 USD
12561,Hyundai Elantra,2014,1.8,Benzin,150.0,Avtomat,Ön,103000,20 600 AZN
12562,Lexus LS 350,2018,3.5,Benzin,420.0,Avtomat,Ön,159000,42 000 USD
12563,BMW i7 M70,2023,,Elektro,660.0,Reduktor,Arxa,3800,185 000 EUR
12564,BMW 520,2015,2.0,Benzin,190.0,Avtomat,Arxa,89500,17 500 USD
12565,Mercedes GLE 53 AMG 4MATIC Coupe,2022,3.0,Benzin,435.0,Avtomat,Tam,11000,111 500 USD
12566,MG Marvel R,2024,,Elektro,290.0,Reduktor,Tam,0,79 500 AZN
12567,Bajaj Pulsar RS 200,2024,0.2,Benzin,24.0,Mexaniki,Arxa,0,6 899 AZN
12568,Skoda Karoq,2023,1.4,Benzin,150.0,Avtomat,Ön,0,54 900 AZN
12569,Kia K5,2015,2.0,Hibrid,156.0,Avtomat,Ön,158000,24 700 AZN
12570,Skoda Octavia,2021,1.4,Benzin,150.0,Avtomat,Ön,58000,21 800 USD
12571,Mitsubishi Pajero,2006,3.0,Benzin,188.0,Avtomat,Tam,160000,17 500 AZN
12572,BMW 530e,2022,2.0,Plug-in Hibrid,292.0,Avtomat,Arxa,28000,52 400 USD
12573,Toyota Land Cruiser,2021,3.5,Benzin,415.0,Avtomat,Tam,47700,87 000 USD
12574,Hyundai Sonata,2017,1.7,Dizel,141.0,Robot,Ön,191000,26 900 AZN
12575,Land Rover Discovery,2013,3.0,Dizel,245.0,Avtomat,Tam,261000,23 000 USD
12576,BMW 330e,2021,2.0,Plug-in Hibrid,292.0,Avtomat,Arxa,16500,45 500 USD
12577,BMW i7 M70,2023,,Elektro,660.0,Reduktor,Arxa,3800,185 000 EUR
12578,BMW 520,2015,2.0,Benzin,190.0,Avtomat,Arxa,89500,17 500 USD
12579,Mercedes S 400,2016,3.0,Benzin,333.0,Avtomat,Arxa,159320,47 000 USD
12580,Renault Logan,2012,1.6,Benzin,102.0,Mexaniki,Ön,294000,9 900 AZN
12581,Hyundai Sonata,2017,1.7,Dizel,141.0,Robot,Ön,191000,26 900 AZN
12582,ZEEKR 001,2023,,Elektro,544.0,Reduktor,Tam,6500,46 800 USD
12583,BYD Song L,2024,,Elektro,517.0,Reduktor,Tam,0,39 999 USD
12584,Ford Transit,2012,2.2,Dizel,100.0,Mexaniki,Ön,155000,16 500 AZN
12585,Nissan Qashqai,2011,2.0,Benzin,114.0,Avtomat,Ön,265000,22 500 AZN
12586,LADA (VAZ) Priora,2013,1.6,Benzin,98.0,Mexaniki,Ön,220000,9 000 AZN
12587,Kia Rio,2005,1.5,Dizel,110.0,Mexaniki,Ön,337674,11 500 AZN
12588,Land Rover RR Sport,2012,3.0,Dizel,245.0,Avtomat,Tam,270000,28 500 USD
12589,Toyota Corolla,1996,1.6,Benzin,115.0,Avtomat,Ön,70000,3 500 AZN
12590,BMW 525,2002,2.5,Benzin,192.0,Avtomat,Arxa,373000,13 700 AZN
12591,LADA (VAZ) 21011,1982,1.6,Benzin,75.0,Mexaniki,Arxa,90000,2 600 AZN
12592,LADA (VAZ) 2121 Niva (4x4),2017,1.7,Benzin,83.0,Mexaniki,Tam,34000,16 000 AZN
12593,Kia Optima,2015,2.0,Benzin,274.0,Avtomat,Ön,180000,23 800 AZN
12594,Hyundai Accent,2016,1.4,Benzin,108.0,Avtomat,Ön,143000,20 200 AZN
12595,Mercedes E 250,2010,2.2,Dizel,204.0,Avtomat,Arxa,335000,26 000 AZN
12596,BMW 318,1991,1.8,Benzin,113.0,Mexaniki,Ön,350000,4 100 AZN
12597,BMW 530,2017,2.0,Benzin,252.0,Avtomat,Arxa,108000,41 400 USD
12598,Kia Carnival,2019,2.2,Dizel,202.0,Avtomat,Ön,153434,50 000 AZN
12599,BMW 520,2013,2.0,Dizel,184.0,Avtomat,Arxa,213000,31 800 AZN
12600,Opel Corsa,2017,1.4,Benzin,90.0,Avtomat,Ön,208000,14 500 AZN
12601,Changan Qiyuan A05,2024,1.5,Plug-in Hibrid,190.0,Avtomat,Ön,0,17 400 USD
12602,Alfa Romeo Giulia,2023,2.9,Benzin,505.0,Avtomat,Arxa,0,95 100 EUR
12603,Chery Tiggo 2 Pro,2023,1.5,Benzin,109.0,Avtomat,Ön,0,29 900 AZN
12604,Mercedes EQE 350 4MATIC SUV,2024,,Elektro,292.0,Reduktor,Tam,0,115 255 EUR
12605,Toyota Camry,2023,2.5,Hibrid,215.0,Avtomat,Ön,10,45 900 USD
12606,BMW 520,2015,2.0,Dizel,190.0,Avtomat,Arxa,195500,41 000 AZN
12607,Baic X3,2022,1.5,Benzin,116.0,Avtomat,Tam,19800,39 400 AZN
12608,Hyundai Tucson,2016,1.7,Dizel,141.0,Avtomat,Ön,116000,30 800 AZN
12609,Kia Cerato,2013,1.8,Benzin,149.0,Avtomat,Ön,233355,18 800 AZN
12610,Hyundai Santa Fe,2016,2.0,Dizel,184.0,Avtomat,Ön,138000,34 000 AZN
12611,Toyota Prius,2009,1.8,Hibrid,99.0,Variator,Ön,273000,27 500 AZN
12612,Kia Sorento,2017,2.0,Dizel,184.0,Avtomat,Ön,170964,42 700 AZN
12613,Kia Carnival,2019,2.2,Dizel,202.0,Avtomat,Ön,153434,50 000 AZN
12614,BMW 520,2013,2.0,Dizel,184.0,Avtomat,Arxa,213000,31 800 AZN
12615,Opel Corsa,2017,1.4,Benzin,90.0,Avtomat,Ön,208000,14 500 AZN
12616,Toyota Land Cruiser,2013,4.0,Benzin,282.0,Avtomat,Tam,300000,51 000 AZN
12617,Changan Alsvin V7,2021,1.5,Benzin,114.0,Avtomat,Ön,93000,18 500 AZN
12618,Mercedes C 220 d,2014,2.2,Dizel,170.0,Avtomat,Arxa,120000,42 900 AZN
12619,Ford Fusion (North America),2018,1.5,Benzin,181.0,Avtomat,Ön,234884,20 500 AZN
12620,BYD Song Plus,2024,,Elektro,184.0,Reduktor,Ön,0,31 999 USD
12621,Volkswagen Tiguan,2008,2.0,Benzin,200.0,Avtomat,Ön,220000,15 000 AZN
12622,BMW 328 GT,2016,2.0,Benzin,245.0,Avtomat,Tam,172000,18 000 USD
12623,BMW 525,2002,2.5,Benzin,192.0,Avtomat,Arxa,275000,10 500 AZN
12624,Hyundai Elantra,2013,1.8,Benzin,150.0,Avtomat,Ön,191151,18 900 AZN
12625,Kia Sorento,2015,2.0,Dizel,184.0,Avtomat,Ön,174000,36 900 AZN
12626,Hyundai Elantra,2020,1.4,Benzin,128.0,Avtomat,Ön,25058,25 900 AZN
12627,Hyundai Santa Fe,2013,2.4,Benzin,175.0,Avtomat,Tam,153251,30 500 AZN
12628,Hyundai Santa Fe,2015,2.0,Dizel,184.0,Avtomat,Ön,178600,35 700 AZN
12629,Mercedes E 220 d,2014,2.2,Dizel,170.0,Avtomat,Arxa,170132,22 500 USD
12630,Toyota Land Cruiser,2014,4.6,Benzin,309.0,Avtomat,Tam,116600,46 500 USD
12631,Peugeot 206 CC,2003,1.6,Benzin,110.0,Avtomat,Ön,200000,8 100 AZN
12632,Nissan Note,2015,1.2,Benzin,98.0,Avtomat,Ön,37300,14 900 AZN
12633,Honda Insight,2020,1.5,Hibrid,109.0,Avtomat,Ön,52348,19 300 USD
12634,Kia Seltos,2023,2.0,Benzin,150.0,Avtomat,Tam,5210,48 500 AZN
12635,Infiniti FX45,2006,4.5,Benzin,315.0,Avtomat,Tam,119904,14 900 AZN
12636,Kia Sorento,2015,2.2,Dizel,197.0,Avtomat,Tam,131400,38 100 AZN
12637,KG Mobility Rexton,2023,2.2,Dizel,200.0,Avtomat,Tam,0,84 400 AZN
12638,Nissan Patrol,2017,5.6,Benzin,405.0,Avtomat,Tam,74000,65 000 USD
12639,LADA (VAZ) Niva,2024,1.7,Benzin,83.0,Mexaniki,Tam,0,19 200 AZN
12640,Mercedes V 220,2023,2.0,Dizel,163.0,Mexaniki,Arxa,0,75 289 EUR
12641,HOWO Sinotruk,2012,9.5,Dizel,366.0,Mexaniki,Arxa,600000,60 000 AZN
12642,Toyota Prius,2014,1.8,Hibrid,99.0,Variator,Ön,338556,20 300 AZN
12643,Mercedes C 220 d,1999,2.2,Dizel,125.0,Avtomat,Arxa,555550,11 000 AZN
12644,Mercedes Sprinter 313,2007,2.2,Dizel,129.0,Mexaniki,Arxa,221249,24 900 AZN
12645,BMW 750,2009,4.4,Benzin,407.0,Avtomat,Arxa,251000,28 400 AZN
12646,Audi A8,2012,4.0,Benzin,420.0,Avtomat,Tam,192000,21 000 USD
12647,Hyundai Avante,2009,1.6,Qaz,114.0,Avtomat,Ön,188200,17 500 AZN
12648,Lexus UX 250h,2020,2.0,Hibrid,185.0,Avtomat,Tam,63700,32 100 USD
12649,Honda Insight,2020,1.5,Hibrid,109.0,Avtomat,Ön,52348,19 300 USD
12650,Kia Seltos,2023,2.0,Benzin,150.0,Avtomat,Tam,5210,48 500 AZN
12651,Infiniti FX45,2006,4.5,Benzin,315.0,Avtomat,Tam,119904,14 900 AZN
12652,Kia Sorento,2015,2.2,Dizel,197.0,Avtomat,Tam,131400,38 100 AZN
12653,Scania R420,2010,12.0,Dizel,420.0,Avtomat,Tam,940000,64 000 AZN
12654,Hyundai Sonata,2015,2.0,Hibrid,156.0,Avtomat,Ön,152000,27 800 AZN
12655,Mercedes Sprinter 313,2009,2.2,Dizel,129.0,Mexaniki,Arxa,214878,21 900 AZN
12656,Chevrolet Cruze,2015,1.4,Benzin,140.0,Avtomat,Ön,188470,15 500 AZN
12657,Land Rover Discovery,2014,3.0,Benzin,340.0,Avtomat,Tam,120000,26 500 USD
12658,Changan Qiyuan A06,2023,1.5,Plug-in Hibrid,335.0,Avtomat,Ön,0,22 500 USD
12659,Opel Astra,2007,1.3,Dizel,90.0,Mexaniki,Ön,267500,10 900 AZN
12660,Chevrolet Cruze,2016,1.4,Benzin,153.0,Avtomat,Ön,230000,17 500 AZN
12661,Hyundai Elantra,2011,1.8,Benzin,150.0,Avtomat,Ön,271979,16 200 AZN
12662,Honda Accord,2008,2.4,Benzin,190.0,Avtomat,Ön,234802,19 000 AZN
12663,Nissan Tiida,2012,1.5,Benzin,109.0,Avtomat,Ön,53245,14 900 AZN
12664,Volkswagen Passat CC,2011,2.0,Benzin,200.0,Avtomat,Ön,147000,14 300 AZN
12665,Hyundai Santa Fe,2014,2.0,Dizel,184.0,Avtomat,Ön,180000,30 000 AZN
12666,LADA (VAZ) 2112,2003,1.6,Benzin,90.0,Mexaniki,Ön,390000,5 500 AZN
12667,Hyundai Accent,2014,1.4,Benzin,107.0,Avtomat,Ön,24800,20 500 AZN
12668,Opel Astra,2004,1.4,Benzin,90.0,Mexaniki,Ön,174000,11 400 AZN
12669,Kia Sorento,2015,2.0,Dizel,184.0,Avtomat,Tam,178000,39 000 AZN
12670,Hyundai Avante,2014,1.6,Dizel,132.0,Avtomat,Ön,110000,25 500 AZN
12671,Kia Sorento,2015,2.0,Dizel,184.0,Avtomat,Ön,175000,35 900 AZN
12672,Hyundai Santa Fe,2014,2.0,Dizel,184.0,Avtomat,Tam,186000,31 500 AZN
12673,MG 5,2023,1.5,Benzin,115.0,Avtomat,Ön,0,31 200 AZN
12674,Mercedes 230 E,1969,2.3,Benzin,130.0,Avtomat,Arxa,75000,28 900 USD
12675,Kia Optima,2014,2.0,Benzin,150.0,Avtomat,Ön,125000,26 900 AZN
12676,Kia Sorento,2021,2.5,Benzin,180.0,Avtomat,Tam,51000,68 900 AZN
12677,Land Rover Range Rover,2016,3.0,Benzin,340.0,Avtomat,Tam,18600,65 800 USD
12678,Mercedes EQC 400 4MATIC,2021,,Elektro,402.0,Reduktor,Tam,16000,50 500 USD
12679,BMW 328,2012,2.0,Benzin,245.0,Avtomat,Arxa,176400,26 700 AZN
12680,BMW 530,2019,2.0,Benzin,249.0,Avtomat,Arxa,38000,34 800 USD
12681,Mazda CX-9,2009,3.7,Benzin,277.0,Avtomat,Tam,163584,17 500 AZN
12682,Mercedes E 220 d,2007,2.2,Dizel,170.0,Avtomat,Arxa,238067,24 800 AZN
12683,Land Rover Range Rover,2014,3.0,Dizel,248.0,Avtomat,Tam,134000,55 000 USD
12684,Hyundai Sonata,2020,1.6,Benzin,132.0,Avtomat,Ön,105000,37 000 AZN
12685,Kia Sorento,2015,2.0,Dizel,184.0,Avtomat,Tam,178000,39 000 AZN
12686,Hyundai Avante,2014,1.6,Dizel,132.0,Avtomat,Ön,110000,25 500 AZN
12687,Kia Sorento,2015,2.0,Dizel,184.0,Avtomat,Ön,175000,35 900 AZN
12688,Hyundai Santa Fe,2014,2.0,Dizel,184.0,Avtomat,Tam,186000,31 500 AZN
12689,GAZ 3302-744,2008,2.4,Benzin,131.0,Mexaniki,Arxa,97000,13 800 AZN
12690,Mercedes Vito 111,2008,2.2,Dizel,116.0,Mexaniki,Arxa,350000,18 000 AZN
12691,Hyundai i30,2007,1.6,Dizel,115.0,Avtomat,Ön,216000,15 900 AZN
12692,Nissan Note,2018,1.2,Hibrid,80.0,Avtomat,Ön,117000,17 300 AZN
12693,Honda Accord,2014,2.4,Benzin,190.0,Avtomat,Ön,159511,28 700 AZN
12694,Hyundai Santa Fe,2015,2.0,Dizel,184.0,Avtomat,Tam,146000,35 000 AZN
12695,Mercedes 208 D,1993,2.3,Dizel,95.0,Mexaniki,Arxa,384000,15 300 AZN
12696,Jeep Grand Cherokee,2014,6.4,Benzin,468.0,Avtomat,Tam,130000,42 000 USD
12697,Mercedes E 220 d,2000,2.2,Dizel,143.0,Avtomat,Arxa,420000,17 200 AZN
12698,Chevrolet Spark,2013,1.2,Benzin,90.0,Avtomat,Ön,118733,12 900 AZN
12699,Mercedes C 180,1995,1.8,Benzin,129.0,Avtomat,Arxa,156000,9 200 AZN
12700,Toyota Camry,2020,2.5,Benzin,181.0,Avtomat,Ön,12000,39 000 USD
12701,Hyundai Grandeur,2015,2.2,Dizel,202.0,Avtomat,Ön,200000,32 000 AZN
12702,BMW 525,2001,2.5,Benzin,192.0,Avtomat,Arxa,366000,17 500 AZN
12703,Hyundai Santa Fe,2016,2.0,Dizel,184.0,Avtomat,Tam,146000,37 500 AZN
12704,Nissan Teana,2004,2.3,Benzin,173.0,Avtomat,Ön,573340,8 700 AZN
12705,Chevrolet Malibu,2017,1.5,Benzin,160.0,Avtomat,Ön,242500,19 300 AZN
12706,Avatr 12,2024,,Elektro,578.0,Reduktor,Tam,0,54 900 USD
12707,Opel Astra,2007,1.9,Dizel,120.0,Mexaniki,Ön,208431,9 900 AZN
12708,LADA (VAZ) 2106,1991,1.6,Benzin,75.0,Mexaniki,Arxa,71518,4 000 AZN
12709,Kia Sorento,2023,2.2,Dizel,200.0,Robot,Tam,0,89 700 AZN
12710,Opel Astra,2009,1.4,Benzin,90.0,Mexaniki,Ön,315000,12 900 AZN
12711,Mercedes GLS 450 4MATIC,2018,3.0,Benzin,367.0,Avtomat,Tam,82000,58 500 USD
12712,Mercedes GLE 400 4MATIC Coupe,2023,2.0,Plug-in Hibrid,381.0,Avtomat,Tam,0,131 500 USD
12713,Chevrolet Cruze,2012,1.4,Benzin,140.0,Avtomat,Ön,137000,14 300 AZN
12714,Ford Transit,1986,2.5,Dizel,76.0,Mexaniki,Ön,307000,7 900 AZN
12715,Volkswagen Touareg,2010,3.6,Benzin,282.0,Avtomat,Tam,313500,25 700 AZN
12716,Land Rover RR Velar,2019,2.0,Benzin,250.0,Avtomat,Tam,54000,48 000 USD
12717,Kia Sorento,2015,2.2,Dizel,200.0,Avtomat,Ön,135000,38 000 AZN
12718,Land Rover Range Rover,2014,3.0,Dizel,248.0,Avtomat,Tam,134000,55 000 USD
12719,Chevrolet Cruze,2014,1.4,Benzin,141.0,Avtomat,Ön,242000,14 900 AZN
12720,Kia Sorento,2016,2.0,Benzin,265.0,Avtomat,Tam,105000,32 300 AZN
12721,Opel Astra,2007,1.9,Dizel,120.0,Mexaniki,Ön,208431,9 900 AZN
12722,LADA (VAZ) 2106,1991,1.6,Benzin,75.0,Mexaniki,Arxa,71518,4 000 AZN
12723,Opel Corsa,1994,1.4,Benzin,90.0,Avtomat,Ön,314027,4 500 AZN
12724,Opel Astra,1999,1.6,Benzin,101.0,Avtomat,Ön,183000,10 700 AZN
12725,Kia Optima,2016,2.0,Qaz,150.0,Avtomat,Ön,64427,35 490 AZN
12726,BMW 320,1994,2.0,Benzin,150.0,Avtomat,Arxa,384000,9 000 AZN
12727,Nissan Juke,2013,1.6,Benzin,117.0,Variator,Ön,96500,20 900 AZN
12728,BMW X5,2012,3.0,Benzin,306.0,Avtomat,Tam,169000,23 500 USD
12729,Mercedes Atego 816,2009,4.3,Dizel,197.0,Mexaniki,Arxa,427000,35 000 AZN
12730,Ford Mustang,2015,2.3,Benzin,317.0,Avtomat,Arxa,180000,21 900 USD
12731,Mercedes S 450,2018,3.0,Benzin,367.0,Avtomat,Arxa,42000,65 000 USD
12732,Toyota Prius,2013,1.8,Hibrid,99.0,Variator,Ön,123000,21 500 AZN
12733,Opel Vectra,1999,1.6,Benzin,75.0,Mexaniki,Ön,371023,6 600 AZN
12734,LADA (VAZ) 2107,2007,1.6,Benzin,75.0,Mexaniki,Arxa,15506,6 200 AZN
12735,Jeep Wrangler,2011,3.8,Benzin,202.0,Avtomat,Tam,276000,23 000 USD
12736,Mercedes ML 320,2005,3.0,Dizel,224.0,Avtomat,Arxa,295000,26 500 AZN
12737,Mercedes C 180,2000,1.8,Benzin,122.0,Mexaniki,Arxa,366000,9 600 AZN
12738,LADA (VAZ) 2106,1985,1.3,Benzin,64.0,Mexaniki,Arxa,156800,2 800 AZN
12739,Changan Uni-K iDD,2024,1.5,Plug-in Hibrid,282.0,Avtomat,Ön,0,31 999 USD
12740,Kia K3,2014,1.6,Dizel,130.0,Robot,Ön,197000,21 900 AZN
12741,Changan Uni-K iDD,2024,1.5,Plug-in Hibrid,282.0,Avtomat,Ön,0,31 999 USD
12742,LADA (VAZ) 2115,2009,1.6,Benzin,80.0,Mexaniki,Ön,260000,8 300 AZN
12743,Nissan Maxima,2010,3.5,Benzin,290.0,Avtomat,Ön,187000,19 900 AZN
12744,Chevrolet Cobalt,2023,1.5,Benzin,106.0,Avtomat,Ön,38000,35 376 AZN
12745,Toyota Land Cruiser Prado,2014,2.7,Benzin,163.0,Avtomat,Tam,135257,35 540 USD
12746,BMW 740,2023,3.0,Dizel,299.0,Avtomat,Tam,0,175 555 USD
12747,Avatr 12,2024,,Elektro,578.0,Reduktor,Tam,0,54 900 USD
12748,Land Rover Range Rover,2019,3.0,Benzin,340.0,Avtomat,Ön,113400,84 500 USD
12749,Mercedes S 350,2012,3.5,Benzin,306.0,Avtomat,Arxa,108000,26 500 USD
12750,Audi Q5,2012,2.0,Benzin,211.0,Avtomat,Tam,176000,20 000 AZN
12751,Toyota Prius,2009,1.5,Hibrid,76.0,Variator,Ön,344400,12 500 AZN
12752,Mercedes E 350,2010,3.5,Benzin,272.0,Avtomat,Arxa,256000,29 500 AZN
12753,Mercedes GLA 250,2015,2.0,Benzin,211.0,Avtomat,Tam,99500,22 300 USD
12754,Mercedes C 220 d,1999,2.2,Dizel,125.0,Avtomat,Arxa,610000,12 000 AZN
12755,Geely Monjaro,2024,1.5,Hibrid,245.0,Avtomat,Ön,0,31 900 USD
12756,Toyota Prius,2007,1.5,Hibrid,76.0,Variator,Ön,184000,13 000 AZN
12757,Nissan Maxima,2010,3.5,Benzin,290.0,Avtomat,Ön,187000,19 900 AZN
12758,Chevrolet Cobalt,2023,1.5,Benzin,106.0,Avtomat,Ön,38000,35 376 AZN
12759,Land Rover Range Rover,2017,3.0,Dizel,340.0,Avtomat,Tam,57000,70 000 USD
12760,Mercedes C 240,2003,2.4,Benzin,170.0,Avtomat,Arxa,287770,11 800 AZN
12761,Mercedes C 220 d,2001,2.2,Dizel,143.0,Avtomat,Arxa,372000,9 900 AZN
12762,Mercedes E 240,2000,2.4,Benzin,170.0,Avtomat,Arxa,410000,16 500 AZN
12763,Mercedes E 220 d,2007,2.2,Dizel,170.0,Avtomat,Arxa,390000,22 500 AZN
12764,Nissan Navara,2013,2.5,Dizel,190.0,Mexaniki,Tam,250000,29 000 AZN
12765,Mercedes C 220 d,2010,2.2,Dizel,170.0,Avtomat,Arxa,237849,32 700 AZN
12766,Kia Ceed,2008,1.4,Benzin,109.0,Mexaniki,Ön,225043,12 500 AZN
12767,Toyota Prius,2008,1.5,Hibrid,76.0,Variator,Ön,272000,10 700 AZN
12768,Kia Ceed,2009,1.6,Dizel,115.0,Mexaniki,Ön,440000,15 000 AZN
12769,GAZ 3110,2003,2.3,Benzin,131.0,Mexaniki,Arxa,249000,4 500 AZN
12770,Hyundai Sonata,2015,2.4,Benzin,188.0,Avtomat,Ön,138404,23 500 AZN
12771,Shacman F2000,2011,11.0,Dizel,336.0,Mexaniki,Arxa,450000,50 000 AZN
12772,Hyundai Grandeur,2006,2.2,Dizel,155.0,Avtomat,Ön,239000,17 000 AZN
12773,BMW 328,2015,2.0,Benzin,245.0,Avtomat,Arxa,76000,17 500 USD
12774,Chevrolet Malibu,2017,1.5,Benzin,160.0,Avtomat,Ön,89900,23 800 AZN
12775,Chevrolet Malibu,2016,1.5,Benzin,185.0,Avtomat,Ön,234000,19 800 AZN
12776,Hyundai Accent,2008,1.5,Dizel,110.0,Mexaniki,Ön,230000,11 500 AZN
12777,LADA (VAZ) 2106,2004,1.5,Benzin,65.0,Mexaniki,Arxa,99000,3 400 AZN
12778,LADA (VAZ) 2107,2005,1.6,Benzin,75.0,Mexaniki,Arxa,76000,7 000 AZN
12779,Mercedes E 240,2000,2.4,Benzin,170.0,Avtomat,Arxa,362000,16 000 AZN
12780,LADA (VAZ) Granta,2012,1.6,Benzin,106.0,Mexaniki,Ön,308000,8 800 AZN
12781,Mercedes-Maybach GLS 600 4MATIC,2023,4.0,Benzin,558.0,Avtomat,Tam,0,237 300 EUR
12782,Leapmotor C11,2024,,Elektro,272.0,Reduktor,Arxa,0,59 900 AZN
12783,Bestune T99,2023,2.0,Benzin,225.0,Avtomat,Ön,0,49 000 AZN
12784,Jaguar F-Type,2018,2.0,Benzin,300.0,Avtomat,Arxa,21800,41 777 USD
12785,MG RX8,2021,2.0,Benzin,220.0,Avtomat,Tam,41140,51 500 AZN
12786,Daewoo Nexia,2009,1.5,Benzin,80.0,Mexaniki,Ön,580000,4 300 AZN
12787,Hyundai Santa Fe,2014,2.0,Dizel,184.0,Avtomat,Ön,187000,30 000 AZN
12788,Toyota Prius,2007,1.5,Hibrid,76.0,Variator,Ön,184000,13 000 AZN
12789,Toyota Land Cruiser,2013,4.0,Benzin,276.0,Avtomat,Tam,179100,33 500 USD
12790,Hyundai Azera,2013,2.4,Benzin,180.0,Avtomat,Ön,91390,30 700 AZN
12791,Mercedes S 350,2012,3.5,Benzin,306.0,Avtomat,Arxa,108000,26 500 USD
12792,Hyundai Sonata,2015,2.4,Benzin,178.0,Avtomat,Arxa,218019,26 050 AZN
12793,LADA (VAZ) 2107,2005,1.6,Benzin,75.0,Mexaniki,Arxa,76000,7 000 AZN
12794,Mercedes E 240,2000,2.4,Benzin,170.0,Avtomat,Arxa,362000,16 000 AZN
12795,LADA (VAZ) Granta,2012,1.6,Benzin,106.0,Mexaniki,Ön,308000,8 800 AZN
12796,Ford Fusion (North America),2018,1.5,Benzin,184.0,Avtomat,Ön,140000,20 800 AZN
12797,LADA (VAZ) 2107,2004,1.5,Benzin,65.0,Mexaniki,Arxa,45000,4 600 AZN
12798,Honda Insight,2010,1.3,Hibrid,88.0,Variator,Ön,294000,10 000 AZN
12799,Opel Astra,2004,1.4,Benzin,90.0,Mexaniki,Ön,440000,11 000 AZN
12800,Mercedes Vito,2010,2.2,Dizel,150.0,Mexaniki,Ön,201000,24 500 AZN
12801,Kia K3,2014,1.6,Dizel,132.0,Avtomat,Ön,216000,22 500 AZN
