ID,Model,Year,Engine_Volume,Engine_Type,Horse_Power,Gearbox,Transmitter,Mileage,Price
4564,GAZ Next A21R32-30,2023,2.8,Dizel,149.0,Mexaniki,Arxa,0,38 500 AZN
4565,Toyota Corolla,2015,1.6,Benzin,124.0,Avtomat,Ön,155365,24 900 AZN
4566,Honda CR-V,2022,2.0,Hibrid,212.0,Avtomat,Tam,21000,27 500 USD
4567,Infiniti FX35,2012,3.5,Benzin,303.0,Avtomat,Tam,157000,21 900 USD
4568,Toyota Land Cruiser,2013,4.0,Benzin,276.0,Avtomat,Tam,179100,33 500 USD
4569,Toyota Corolla,2019,1.6,Benzin,124.0,Avtomat,Ön,75100,27 900 AZN
4570,Toyota Fortuner,2012,2.7,Benzin,163.0,Avtomat,Tam,175800,30 500 AZN
4571,Land Rover Range Rover,2014,3.0,Dizel,248.0,Avtomat,Tam,164000,47 900 USD
4572,Toyota Land Cruiser Prado,2012,2.7,Benzin,163.0,Avtomat,Tam,100371,25 900 USD
4573,BMW X5 M,2024,4.4,Benzin,625.0,Robot,Tam,0,215 555 EUR
4574,Honda e:NS1,2022,,Elektro,204.0,Reduktor,Ön,0,21 500 USD
4575,Isuzu NPR 75 L,2023,5.1,Dizel,155.0,Mexaniki,Arxa,0,68 000 AZN
4576,Volvo XC90,2023,2.0,Hibrid,254.0,Avtomat,Tam,0,71 148 EUR
4577,Hyundai Elantra,2014,1.8,Benzin,150.0,Avtomat,Ön,147480,19 200 AZN
4578,Volkswagen Transporter,2018,2.0,Dizel,180.0,Avtomat,Ön,56300,37 000 USD
4579,Scania R420,2009,12.0,Dizel,420.0,Avtomat,Tam,1297140,57 600 AZN
4580,Mercedes E 220 d,2000,2.2,Dizel,143.0,Avtomat,Arxa,351580,15 900 AZN
4581,Hyundai Grandeur,2014,2.2,Dizel,202.0,Avtomat,Ön,209550,31 000 AZN
4582,Mercedes E 320,2002,3.2,Benzin,224.0,Avtomat,Arxa,386100,17 500 AZN
4583,Mercedes Vito 116,2016,2.2,Dizel,163.0,Avtomat,Arxa,237000,24 900 USD
4584,Ford Fusion (North America),2015,2.0,Benzin,245.0,Avtomat,Ön,297729,21 300 AZN
4585,Toyota Land Cruiser,2013,4.0,Benzin,276.0,Avtomat,Tam,179100,33 500 USD
4586,Toyota Corolla,2019,1.6,Benzin,124.0,Avtomat,Ön,75100,27 900 AZN
4587,Toyota Fortuner,2012,2.7,Benzin,163.0,Avtomat,Tam,175800,30 500 AZN
4588,Land Rover Range Rover,2014,3.0,Dizel,248.0,Avtomat,Tam,164000,47 900 USD
4589,Toyota Land Cruiser Prado,2012,2.7,Benzin,163.0,Avtomat,Tam,100371,25 900 USD
4590,Mazda CX-9,2009,3.7,Benzin,277.0,Avtomat,Tam,163584,17 500 AZN
4591,Kia Optima,2014,2.0,Benzin,274.0,Avtomat,Ön,125529,23 500 AZN
4592,Ford Fusion (North America),2016,2.0,Benzin,245.0,Avtomat,Ön,187525,25 300 AZN
4593,Haval H9,2017,2.0,Benzin,245.0,Avtomat,Tam,127200,34 900 AZN
4594,UAZ 33036,2023,2.7,Benzin,82.0,Mexaniki,Tam,0,29 500 AZN
4595,UAZ Profi,2023,2.7,Benzin,150.0,Mexaniki,Tam,0,38 500 AZN
4596,LADA (VAZ) 2107,2005,1.6,Benzin,75.0,Mexaniki,Arxa,99000,4 500 AZN
4597,Hyundai Grandeur,2014,2.2,Dizel,202.0,Avtomat,Ön,148000,26 400 AZN
4598,Kia Sportage,2023,2.0,Hibrid,202.0,Avtomat,Ön,0,35 000 USD
4599,UAZ Patriot,2023,2.7,Benzin,150.0,Mexaniki,Tam,0,28 000 AZN
4600,Ford Fusion (North America),2017,1.5,Benzin,181.0,Avtomat,Ön,128748,20 500 AZN
4601,Mazda 6,2014,2.5,Benzin,192.0,Avtomat,Arxa,129000,26 900 AZN
4602,Mercedes Sprinter 315,2007,2.2,Dizel,150.0,Avtomat,Arxa,210000,28 400 AZN
4603,Jeep Grand Cherokee,2014,3.6,Benzin,286.0,Avtomat,Tam,158000,24 900 USD
4604,BMW 428,2014,2.0,Benzin,245.0,Avtomat,Arxa,74000,20 700 USD
4605,Hyundai i30,2009,1.4,Benzin,109.0,Mexaniki,Ön,230000,13 400 AZN
4606,Renault Premium 460,2010,12.0,Dizel,420.0,Avtomat,Arxa,333444,24 000 AZN
4607,Nissan Note,2015,1.2,Benzin,98.0,Avtomat,Ön,38000,15 200 AZN
4608,Hyundai Avante,2016,1.6,Dizel,128.0,Robot,Ön,196000,24 500 AZN
4609,Lynk & Co 01,2024,1.5,Plug-in Hibrid,262.0,Avtomat,Ön,0,34 900 USD
4610,KAIYI X7,2023,1.6,Benzin,190.0,Avtomat,Ön,0,43 900 AZN
4611,Alfa Romeo Stelvio,2022,2.0,Benzin,280.0,Avtomat,Tam,0,56 400 EUR
4612,Lynk & Co 03,2024,2.0,Benzin,218.0,Avtomat,Ön,0,31 900 USD
4613,Toyota Corolla,2007,1.4,Dizel,90.0,Mexaniki,Ön,23500,15 800 AZN
4614,Hyundai Grandeur,2015,2.4,Hibrid,201.0,Avtomat,Ön,148500,28 000 AZN
4615,Haval H6,2020,2.0,Benzin,224.0,Avtomat,Ön,91000,39 920 AZN
4616,SEAT Ibiza,2012,1.6,Benzin,105.0,Avtomat,Ön,185000,11 900 AZN
4617,GAZ 330200,2008,2.3,Benzin,131.0,Mexaniki,Arxa,288000,12 800 AZN
4618,LADA (VAZ) Largus Cross,2021,1.6,Benzin,106.0,Mexaniki,Ön,95601,20 900 AZN
4619,Land Rover Discovery,2011,4.0,Benzin,216.0,Avtomat,Tam,178000,19 800 USD
4620,Dodge Durango,2012,3.6,Benzin,290.0,Avtomat,Tam,170000,29 000 AZN
4621,Renault Premium 460,2010,12.0,Dizel,420.0,Avtomat,Arxa,333444,24 000 AZN
4622,Nissan Note,2015,1.2,Benzin,98.0,Avtomat,Ön,38000,15 200 AZN
4623,Hyundai Avante,2016,1.6,Dizel,128.0,Robot,Ön,196000,24 500 AZN
4624,Mercedes C 180,2022,1.6,Benzin,150.0,Avtomat,Arxa,50000,44 900 USD
4625,Mercedes Sprinter 315,2008,2.2,Dizel,129.0,Avtomat,Arxa,178000,30 400 AZN
4626,LADA (VAZ) 2110,2005,1.6,Benzin,80.0,Mexaniki,Ön,272643,6 300 AZN
4627,Toyota Prius,2014,1.8,Hibrid,99.0,Variator,Ön,98000,23 600 AZN
4628,BMW 328,2015,2.0,Benzin,245.0,Avtomat,Arxa,241402,27 300 AZN
4629,Hyundai Santa Fe,2014,2.0,Dizel,184.0,Avtomat,Ön,217413,30 500 AZN
4630,Kia Sorento,2021,1.6,Hibrid,230.0,Avtomat,Ön,23000,38 900 USD
4631,Lexus ES 350,2008,3.5,Benzin,272.0,Avtomat,Ön,185000,20 900 AZN
4632,Mercedes Sprinter 315,2009,2.2,Dizel,150.0,Mexaniki,Arxa,172000,26 400 AZN
4633,Kia Cerato,2013,1.8,Benzin,150.0,Avtomat,Ön,186684,19 500 AZN
4634,LADA (VAZ) 2107,2011,1.6,Benzin,75.0,Mexaniki,Arxa,93200,9 300 AZN
4635,BMW X6,2010,3.0,Benzin,306.0,Avtomat,Tam,208238,32 500 AZN
4636,Hyundai i30,2007,1.6,Dizel,115.0,Mexaniki,Ön,275345,13 300 AZN
4637,Honda Accord,2021,2.0,Hibrid,212.0,Variator,Ön,33025,25 500 USD
4638,Hyundai Elantra,2023,1.6,Benzin,132.0,Avtomat,Ön,0,43 900 AZN
4639,Toyota Land Cruiser Prado,2008,2.7,Benzin,163.0,Avtomat,Tam,198000,33 900 AZN
